,Title,Original/Revival,Tonys,Gross,% Gross Pot.,Attendance,% Capacity,Av. Price
0,A Bronx Tale The Musical,Original,0,614142.3,66.6,7098.0,85.2,86.52
1,Aint Too Proud,Original,1,1452345.78,96.17,10895.39,95.61,133.3
2,All My Sons,Revival,0,518748.4,60.0,5433.8,91.8,95.47
3,American Son,Original,0,577131.47,68.88,4966.82,84.35,116.2
4,Anastasia,Original,0,752045.52,68.61,7939.57,86.82,94.72
5,Angels In America Millennium Approaches,Revival,3,1023514.14,77.0,8996.57,92.43,113.77
6,Be More Chill,Original,0,482847.73,55.18,5528.36,77.64,87.34
7,Beetlejuice,Original,0,1098203.49,82.63,11103.49,92.93,98.91
8,Bernhardt Hamlet,Original,0,323852.92,56.42,4561.83,84.25,70.99
9,Burn This,Revival,0,706037.86,69.14,6569.14,85.57,107.48
10,Carousel,Revival,2,801850.75,49.38,8813.31,77.19,90.98
11,Celebrity Autobiography,Original,0,74464.67,48.0,1374.67,84.0,54.17
12,Choir Boy,Original,2,296494.85,45.15,4443.0,88.0,66.73
13,Escape To Margaritaville,Original,0,549701.4,31.2,7022.8,54.2,78.27
14,Gary A Sequel To Titus Andronicus,Original,0,230055.33,26.67,5186.33,84.0,44.36
15,Gettin The Band Back Together,Original,0,227331.89,28.67,5477.22,74.11,41.5
16,Hadestown,Original,8,1310914.61,120.17,7404.93,100.95,177.03
17,Head Over Heels,Original,0,245102.86,29.79,4178.86,57.38,58.65
18,Hello Dolly,Revival,4,1470267.62,87.0,10992.0,95.0,133.76
19,Hillary And Clinton,Original,0,281075.75,34.5,5313.25,84.5,52.9
20,Ink,Original,2,396270.0,48.5,4194.0,82.17,94.48
21,King Kong,Original,1,735035.67,50.75,10308.75,75.0,71.3
22,King Lear,Revival,0,340435.0,38.0,5511.5,65.5,61.77
23,Kinky Boots,Original,6,732023.96,56.58,8065.24,70.96,90.76
24,Kiss Me Kate,Revival,0,741104.0,73.6,7496.2,93.8,98.86
25,Morrissey,Original,0,1881374.0,92.0,10085.0,96.0,186.55
26,Network,Original,1,1087192.5,114.0,7280.0,102.5,149.34
27,Oklahoma,Revival,2,499988.59,67.29,4721.29,91.03,105.9
28,Once On This Island,Revival,1,490722.47,61.97,4961.41,89.09,98.91
29,Pretty Woman The Musical,Original,0,626055.42,46.83,6903.25,74.5,90.69
30,Ruben Clays First Annual Christmas Carol Family Fun Pageant Spectacular Reunion Show,Original,0,141636.75,11.5,3953.25,38.0,35.83
31,Saint Joan,Revival,0,239506.5,32.5,4184.0,81.0,57.24
32,School Of Rock The Musical,Original,0,866972.85,59.44,9499.35,77.29,91.27
33,Spongebob Squarepants,Original,1,945311.88,67.38,11663.38,90.5,81.05
34,Springsteen On Broadway,Original,1,2070086.5,101.08,4068.0,100.0,508.87
35,Straight White Men,Original,0,329946.45,54.82,4088.91,93.09,80.69
36,Summer,Original,0,732355.19,50.19,7576.94,64.39,96.66
37,The Bands Visit,Original,10,809895.6,78.87,7754.82,93.18,104.44
38,The Boys In The Band,Revival,1,1001806.27,104.55,6299.91,101.82,159.02
39,The Cher Show,Original,2,817604.25,55.67,8251.58,75.5,99.08
40,The Ferryman,Original,4,776658.83,80.33,6990.83,85.67,111.1
41,The Iceman Cometh,Revival,0,882147.4,73.8,6739.2,91.2,130.9
42,The Illusionists  Magic Of The Holidays,Original,0,1401372.5,67.17,12383.0,80.0,113.17
43,The Lifespan Of A Fact,Original,0,847605.18,79.71,6797.18,86.53,124.7
44,The Nap,Original,0,181994.5,28.1,3842.6,76.5,47.36
45,The New One,Original,0,308244.69,32.92,5039.38,62.0,61.17
46,The Play That Goes Wrong,Original,1,340794.75,50.28,5121.44,74.91,66.54
47,The Prom,Original,0,715437.27,69.64,7592.64,91.82,94.23
48,The Waverly Gallery,Original,1,426036.78,56.72,5502.28,89.28,77.43
49,Three Tall Women,Original,2,1075849.75,111.75,6493.75,100.0,165.67
50,To Kill A Mockingbird,Original,1,1834326.05,113.34,11493.51,100.8,159.6
51,Tootsie,Original,2,918660.53,55.47,9556.62,74.88,96.13
52,Torch Song,Revival,0,241577.0,37.77,3681.0,79.54,65.63
53,Travesties,Revival,0,464740.33,71.0,5080.33,87.0,91.48
54,True West,Revival,0,490614.42,67.0,5253.08,93.75,93.4
55,What The Constitution Means To Me,Original,0,507334.38,89.54,4390.46,98.92,115.55
