Names,Number of Reviews,Rating,Price Range,Borough,Location
Anytime,1763,4.5,2,Manhattan,Koreatown
La Grande Boucherie,663,4.5,3,Manhattan,Theater District
The Cabin NYC,359,4.0,2,Manhattan,East Village
Tanner Smiths,1838,4.5,2,Manhattan,Midtown West
Joe’s Shanghai,6521,4.0,2,Manhattan,Chinatown
Thai Villa,3919,4.5,2,Manhattan,Flatiron
Blue Willow 夜来湘,348,4.5,2,Manhattan,
The Smith,2815,4.0,2,Manhattan,Midtown East
OBAO,2940,4.0,2,Manhattan,Midtown West
Mom’s Kitchen & Bar,1030,4.5,2,Manhattan,Hell's Kitchen
RH Rooftop Restaurant New York,497,4.0,3,Manhattan,Meatpacking District
The Maze,531,4.0,2,Manhattan,Koreatown
Trattoria Trecolori,2426,4.0,2,Manhattan,Theater District
Genesis House,9,4.0,2,Manhattan,
The Tyger,251,4.0,3,Manhattan,
Yara,171,4.5,2,Manhattan,
Black Tap - Midtown,1231,4.0,2,Manhattan,Midtown West
Uluh,584,4.5,3,Manhattan,East Village
Friedmans,2557,4.0,2,Manhattan,Midtown West
Raku,1242,4.5,2,Manhattan,East Village
Soothr,346,4.5,2,Manhattan,East Village
Nerai,583,4.5,3,Manhattan,Midtown East
Dim Sum Palace,1400,4.0,2,Manhattan,Midtown West
Hold Fast Kitchen & Spirits,461,5.0,2,Manhattan,Midtown West
Valerie,314,4.0,2,Manhattan,Midtown West
Barn Joo 35,2134,4.0,2,Manhattan,Midtown West
Park Avenue Tavern,832,4.0,2,Manhattan,Murray Hill
Hold Fast Kitchen & Spirits,461,5.0,2,Manhattan,Midtown West
Valerie,314,4.0,2,Manhattan,Midtown West
Very Fresh Noodles,1133,4.5,2,Manhattan,Meatpacking District
Comodo,3,4.5,3,Manhattan,
nonono,920,4.0,2,Manhattan,Midtown East
Junior’s Restaurant & Bakery - 45th St,4822,4.0,3,Manhattan,Theater District
Nerai,583,4.5,2,Manhattan,Midtown East
Jane,3257,4.0,2,Manhattan,Greenwich Village
The Smith,1849,4.0,2,Manhattan,Upper West Side
The Wilson,238,4.5,2,Manhattan,Chelsea
Contento,31,4.5,2,Manhattan,
Wayla,434,4.5,2,Manhattan,Lower East Side
Rubirosa,2514,4.5,3,Manhattan,Nolita
Pig and Khao,1711,4.0,2,Manhattan,Lower East Side
Suram,12,5.0,2,Manhattan,
LoveMama,5656,4.5,2,Manhattan,East Village
Barolo East,192,4.5,2,Manhattan,
Momofuku Noodle Bar - Uptown,368,4.0,2,Manhattan,Hell's Kitchen
Bea,2546,4.0,3,Manhattan,Midtown West
Upland,1091,4.0,2,Manhattan,Flatiron
Henry’s Rooftop Bar,79,4.0,2,Manhattan,Midtown East
Carmine’s Italian Restaurant - Times Square,3842,4.0,1,Manhattan,Theater District
YUBU,125,4.5,2,Manhattan,East Village
Boqueria West 40th St,508,4.0,4,Manhattan,Midtown West
JUA,132,5.0,2,Manhattan,Flatiron
JUA,132,5.0,4,Manhattan,Flatiron
Eataly NYC Flatiron,5738,4.0,2,Manhattan,Flatiron
Lilly’s Craft and Kitchen,1162,4.0,2,Manhattan,Midtown West
Osteria Delbianco,96,5.0,3,Manhattan,
Boqueria,811,4.0,2,Manhattan,Upper East Side
LoveMama,5656,4.5,2,Manhattan,East Village
Upstate Craft Beer & Oyster Bar,1944,4.5,3,Manhattan,East Village
Toloache 50,2052,4.0,3,Manhattan,Theater District
Pig and Khao,1711,4.0,2,Manhattan,Lower East Side
Wayla,434,4.5,2,Manhattan,Lower East Side
Rosemary’s,85,4.0,3,Manhattan,
L’Artusi,1976,4.5,2,Manhattan,West Village
Worthwild,105,4.5,2,Manhattan,Chelsea
The Warren,253,4.0,1,Manhattan,West Village
Kong Sihk Tong 港食堂,395,4.0,2,Manhattan,Chinatown
The Penrose,1283,4.0,2,Manhattan,Yorkville
Chama Mama,454,4.5,2,Manhattan,Chelsea
Maison Pickle,1273,4.0,2,Manhattan,Upper West Side
Kong Sihk Tong 港食堂,395,4.0,1,Manhattan,Chinatown
Popular,24,4.5,2,Manhattan,
Her Name Is Han,1410,4.5,2,Manhattan,Midtown East
MONO+MONO,570,4.0,2,Manhattan,East Village
Berimbau Brazilian Kitchen,129,4.5,2,Manhattan,West Village
Red Peony Chinese Cuisine,446,4.5,2,Manhattan,Midtown West
Little Ways,24,4.5,2,Manhattan,
Haswell Green’s,382,4.5,2,Manhattan,Theater District
The Smith,1137,4.0,3,Manhattan,Flatiron
Cask,1388,4.0,2,Manhattan,Murray Hill
Vestry,67,4.5,3,Manhattan,South Village
Ruby’s Cafe,208,4.5,2,Manhattan,East Village
The Leroy House,129,4.5,3,Manhattan,West Village
Little Collins,892,4.5,2,Manhattan,Midtown East
Sala Thai Restaurant,520,4.5,2,Manhattan,Upper West Side
Empanada Mama - Hell’s Kitchen,2657,4.0,2,Manhattan,Hell's Kitchen
Three Roosters,103,5.0,2,Manhattan,Theater District
The Elgin,166,4.5,2,Manhattan,Midtown West
The Elgin,166,4.5,2,Manhattan,Midtown West
Izakaya MEW,2479,4.0,2,Manhattan,Midtown West
Four Four South Village,37,4.5,2,Manhattan,East Village
Olio e Piú,2951,4.5,2,Manhattan,
Fumo,133,4.0,2,Manhattan,Manhattan Valley
Nami Nori,407,4.5,3,Manhattan,West Village
Kimura,168,4.5,2,Manhattan,East Village
CHILI,107,5.0,2,Manhattan,Midtown East
Yves,85,4.0,2,Manhattan,TriBeCa
Donburiya,372,4.0,2,Manhattan,Midtown West
Harvest Kitchen,213,4.0,2,Manhattan,Upper West Side
Her Name Is Han,1410,4.5,2,Manhattan,Midtown East
Sala Thai Restaurant,520,4.5,2,Manhattan,Upper West Side
The Tang - Upper West Side,239,4.5,2,Manhattan,Manhattan Valley
wagamama - midtown,131,4.0,2,Manhattan,Midtown West
Felice 56,49,4.5,3,Manhattan,Midtown West
Burger & Lobster - Flatiron NYC,5532,4.0,2,Manhattan,Flatiron
Sarabeths - Central Park,1894,3.5,2,Manhattan,Midtown West
Totto Ramen - Midtown East,1206,4.0,2,Manhattan,Midtown East
Jacob’s Pickles,4639,4.0,2,Manhattan,Upper West Side
Sarabeths - Central Park,1894,3.5,2,Manhattan,Midtown West
Totto Ramen - Midtown East,1206,4.0,2,Manhattan,Midtown East
Jacob’s Pickles,4639,4.0,2,Manhattan,Upper West Side
Mercato,945,4.0,2,Manhattan,Midtown West
City Vineyard,1040,4.0,2,Manhattan,
Nino’s 46,1255,4.0,2,Manhattan,Midtown West
Ippudo Westside,3796,4.0,2,Manhattan,Theater District
