,Unnamed: 0,Film,Budget,Revenue,Novel,Revenue Over Budget
0,0,(500) Days of Summer,7500000,60722734,0.0,8.096364533333333
1,1,10 Cloverfield Lane,15000000,108286421,0.0,7.219094733333334
2,2,12 Rounds,20000000,17280326,0.0,0.8640163
3,3,12 Years a Slave,20000000,187000000,1.0,9.35
4,4,127 Hours,18000000,35692920,0.0,1.98294
5,5,13 Going on 30,37000000,96455697,0.0,2.6069107297297296
6,6,13 Hours: The Secret Soldiers of Benghazi,50000000,69411370,0.0,1.3882274
7,7,1408,25000000,94679598,0.0,3.78718392
8,8,16 Blocks,55000000,65664721,0.0,1.1939040181818181
9,9,17 Again,20000000,136267476,0.0,6.8133738
10,10,2 Fast 2 Furious,76000000,236350661,0.0,3.1098771184210525
11,11,2 Guns,61000000,131940411,0.0,2.162957557377049
12,12,2012,200000000,769653595,0.0,3.848267975
13,13,20th Century Women,7000000,5816211,0.0,0.8308872857142857
14,14,21,35000000,69823199,0.0,1.994948542857143
15,15,21 Jump Street,42000000,201585328,0.0,4.7996506666666665
16,16,22 Jump Street,50000000,188441614,0.0,3.76883228
17,17,27 Dresses,30000000,160259319,0.0,5.3419773
18,18,28 Days Later,5000000,82719885,0.0,16.543977
19,19,28 Weeks Later,15000000,64238440,0.0,4.282562666666666
20,20,3 Days to Kill,28000000,52597999,0.0,1.8784999642857143
21,21,30 Days of Night,30000000,75505973,0.0,2.5168657666666667
22,22,30 Minutes or Less,28000000,40547440,0.0,1.448122857142857
23,23,300,65000000,422610419,0.0,6.501698753846154
24,24,42,40000000,95020213,0.0,2.375505325
25,25,47 Meters Down,5500000,44235023,0.0,8.042731454545455
26,26,47 Ronin,175000000,150962475,0.0,0.8626427142857143
27,27,50 First Dates,75000000,196482882,0.0,2.61977176
28,28,50/50,8000000,39187783,0.0,4.898472875
29,29,8 Mile,41000000,215000000,0.0,5.2439024390243905
30,30,88 Minutes,30000000,16930884,0.0,0.5643628
31,31,9,30000000,48428063,0.0,1.6142687666666666
32,32,90 Minutes in Heaven,5000000,4842699,1.0,0.9685398
33,33,99 Homes,8000000,1411927,0.0,0.176490875
34,34,A Cinderella Story,19000000,70067909,0.0,3.687784684210526
35,35,A Cure for Wellness,40000000,26559557,0.0,0.663988925
36,36,A Dog's Purpose,22000000,194647323,1.0,8.84760559090909
37,37,A Good Day to Die Hard,92000000,304654182,0.0,3.3114585
38,38,A Good Year,35000000,42064105,1.0,1.2018315714285714
39,39,A Guy Thing,20000000,17432163,0.0,0.87160815
40,40,A Haunted House,2500000,60141683,0.0,24.0566732
41,41,A History of Violence,32000000,60740827,0.0,1.89815084375
42,42,A Lot Like Love,30000000,42886719,0.0,1.4295573
43,43,A Man Apart,36000000,44350926,0.0,1.2319701666666667
44,44,A Mighty Heart,16000000,18928871,0.0,1.1830544375
45,45,A Mighty Wind,6000000,18750246,0.0,3.125041
46,46,A Monster Calls,43000000,46652768,0.0,1.0849480930232558
47,47,A Most Violent Year,20000000,12007070,0.0,0.6003535
48,48,A Most Wanted Man,15000000,31554855,1.0,2.103657
49,49,A Perfect Getaway,14000000,22852638,0.0,1.6323312857142858
50,50,A Sound of Thunder,80000000,5989640,0.0,0.0748705
51,51,A Thousand Words,40000000,22044277,0.0,0.551106925
52,52,A Walk Among the Tombstones,28000000,53181600,1.0,1.8993428571428572
53,53,A Walk in the Woods,8000000,35991087,0.0,4.498885875
54,54,A Walk to Remember,11000000,41227069,1.0,3.7479153636363636
55,55,ATL,20000000,21170563,0.0,1.05852815
56,56,Abandon,25000000,10719357,0.0,0.42877428
57,57,Abduction,35000000,82087155,0.0,2.345347285714286
58,58,About Schmidt,30000000,105834556,1.0,3.5278185333333334
59,59,About Time,12000000,87100449,0.0,7.25837075
60,60,About a Boy,27000000,129000000,1.0,4.777777777777778
61,61,Abraham Lincoln: Vampire Hunter,69000000,112265139,1.0,1.627031
62,62,Accepted,23000000,38505009,0.0,1.6741308260869565
63,63,Act of Valor,12000000,81272766,0.0,6.7727305
64,64,Adaptation.,19000000,32801173,1.0,1.7263775263157894
65,65,Admission,13000000,18000000,1.0,1.3846153846153846
66,66,Adventureland,9500000,17164377,0.0,1.8067765263157896
67,67,After Earth,130000000,243843127,0.0,1.8757163615384616
68,68,After the Sunset,60000000,61347797,0.0,1.0224632833333334
69,69,Against the Ropes,39000000,6614280,0.0,0.1695969230769231
70,70,Agent Cody Banks,28000000,58795814,0.0,2.0998505
71,71,Agent Cody Banks 2: Destination London,26000000,28818995,0.0,1.1084228846153845
72,72,Akeelah and the Bee,8000000,18948425,0.0,2.368553125
73,73,Alex Cross,45000000,30353232,1.0,0.6745162666666666
74,74,Alexander,155000000,167298192,0.0,1.0793431741935484
75,75,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",28000000,100654149,0.0,3.5947910357142856
76,76,Alfie,60000000,13395939,0.0,0.22326565
77,77,Alice Through the Looking Glass,170000000,299370084,1.0,1.7610004941176471
78,78,Alien: Covenant,97000000,232380243,0.0,2.395672608247423
79,79,Aliens in the Attic,45000000,57881056,0.0,1.286245688888889
80,80,All About Steve,15000000,40105542,0.0,2.6737028
81,81,All About the Benjamins,14000000,25482931,0.0,1.8202093571428573
82,82,All the King's Men,55000000,9450897,1.0,0.17183449090909092
83,83,Allied,85000000,119520023,0.0,1.4061179176470588
84,84,Almost Christmas,17000000,42487325,0.0,2.499254411764706
85,85,Aloha,37000000,26250020,0.0,0.70946
86,86,Alone in the Dark,20000000,10442808,0.0,0.5221404
87,87,Along Came Polly,42000000,171963386,0.0,4.094366333333333
88,88,Alpha and Omega,20000000,39300000,0.0,1.965
89,89,Alvin and the Chipmunks,60000000,361366633,0.0,6.022777216666666
90,90,Alvin and the Chipmunks: Chipwrecked,75000000,342695435,0.0,4.569272466666667
91,91,Alvin and the Chipmunks: The Squeakquel,75000000,443140005,0.0,5.9085334
92,92,Amelia,40000000,19258519,0.0,0.481462975
93,93,American Dreamz,17000000,7314027,0.0,0.43023688235294116
94,94,American Gangster,100000000,266465037,0.0,2.66465037
95,95,American Hustle,40000000,251171807,0.0,6.279295175
96,96,American Reunion,50000000,234989584,0.0,4.69979168
97,97,American Sniper,58800000,542307423,0.0,9.222915357142858
98,98,American Ultra,28000000,27139524,0.0,0.9692687142857143
99,99,American Wedding,55000000,231449203,0.0,4.208167327272728
100,100,An American Carol,20000000,7000000,0.0,0.35
101,101,An Education,7500000,26096852,0.0,3.479580266666667
102,102,An Unfinished Life,30000000,18618284,0.0,0.6206094666666667
